Comment,Designator,Footprint,Asm,Mfg Part #,LCSC Part #
"DNP","R13","R2512","DNP-BOTTOM-SMD","CRGP2512F150R",""
"ES1J","D4","SMA-DIODE","BOTTOM-SMD","","C64879"
"FAN-CONN-X4-CONN-X4","FAN1","FAN-CONN-X4","TOP-TH","WM9797-ND;0470533000",""
"FAN-TIEDOWN-20MM-V1","FAN2","FAN-20MM-TIEDOWN","DNP-TOP-TH","MS2006H12D-RSR",""
"G3404","Q9","SOT23-3","BOTTOM-SMD","G3404;MMFTN3404A;PJA3404A","C96615"
"INA138","U5","SOT95P280X145-5N","BOTTOM-SMD","","C47914"
"IRF510","Q2","TO220V-REAR","DNP-TOP-TH","",""
"LED","LED1 LED2 LED3 LED4","LED-0603","DNP-TOP-SMD","",""
"LM74810QDRRRQ1","U6","DRR0012E-MFG","BOTTOM-MIX","","C3215601"
"PCB-ART-VERSION","PCB2","PCB-ART-VERSION","DNP-BOTTOM-MECH","",""
"PCB-OUTLINE","PCB1","PCB-OUTLINE","DNP-TOP-TH","",""
"SD103A","D3","SOD-323","BOTTOM-SMD","","C7420360"
"SIS862ADN-T1-GE3","Q4 Q5 Q7","POWERPAK-1212-8","DNP-TOP-SMD","",""
"SJ-SMALL-1206-SJ","SJ7 SJ8","1206-SJ","DNP-BOTTOM-SMD","",""
"SJ-SMALL-1206-SJ","SJ6","1206-SJ","DNP-TOP-SMD","",""
"SM15T150CA","TVS1","SMC","BOTTOM-SMD","","C133715"
"SMAJ24CA","TVS6","SMA","BOTTOM-SMD","","C148223"
"SMBJ15CA","TVS2","SMA-DIODE","BOTTOM-SMD","","C78809"
"SSD1306-4PIN-0.91N-VERT","U4","OLED-0.91IN-VERT","DNP-TOP-TH","",""
"STANDOFF-M2.5-4.5MMHEX","STANDOFF1 STANDOFF2","STANDOFF-M2.5-4.5MMHEX","TOP-MIX","",""
"STM32F030F4P6","U3","SOP65P640X120-20N","BOTTOM-SMD","","C2969989"
"STP19NF20","Q1","TO220V-REAR","DNP-TOP-TH","",""
"STPS3L60S","D1","SMC","BOTTOM-SMD","","C2971007"
"STPS0540Z","D9","SOD123FL","BOTTOM-SMD","","C181835"
"TEST-POINT-SQ-2MM","TP1 TP2","PAD-SQ-2MM","TOP-SMD","",""
"TPS54560DDA","U1","VREG_LM5017MR/NOPB","BOTTOM-MIX","","C31966"
"USBC-CHGONLY-4M-DRILL","JP2","SAMESKY_UJC-H-G-SMT-2-P6-TR-DRILL","DNP-TOP-MIX","",""
"XT-CONNECTOR-XT30PW","JP3","XT30PW","DNP-TOP-TH","",""
